분류|대출건수합계|평균대출건수
984.202|2201|21.58
388.3|2189|15.52
337.04|2185|13.57
401|2179|8.25
321.89|2175|14.22
864|2171|13.83
372.68|2168|8.37
325|2163|5.89
332.6|2158|12.19
309.113|2154|9.01
507.5|2151|10.29
812.6|2150|5.3
981.23402|2134|43.55
336.24|2132|11.52
982.402|2127|29.14
517.5|2126|11.75
322.8|2125|10.62
901|2123|11.41
610.4|2118|17.08
327|2117|11.63
325.489|2115|13.82
859.81|2111|14.97
152.222|2107|11.03
325.484|2106|18.47
182.1|2105|14.32
507.5|2090|38.0
527.41|2086|15.01
338.6|2078|10.29
980|2067|10.71
237.2|2044|12.54
231|2037|6.04
219.12|2029|43.17
836|2018|17.86
650.8|2002|22.49
982.802|1997|27.74
810.82|1994|5.29
342.1|1994|7.28
183.2|1993|11.86
619.5|1989|15.79
566.82|1986|17.27
334.3|1983|5.82
370.1|1982|6.29
592.023|1976|26.7
005.44|1974|18.28
152.226|1968|14.58
327.9|1966|11.84
734|1964|23.95
695.7|1956|13.4
337.2|1954|5.52
846|1945|14.96
594.53|1944|20.46
658.3|1941|23.67
813.808|1940|20.86
420.13|1936|16.0
310.16|1921|15.62
367.5|1920|15.24
592.2|1899|35.17
389|1899|10.43
224.2|1894|10.95
598.122|1894|18.94
735|1893|14.45
188.7|1891|21.01
309.112|1890|6.34
594.04|1874|24.34
332.22|1873|12.32
668|1869|6.53
911.0723|1866|8.76
512.8|1864|10.59
591.7|1862|22.71
912.0|1857|19.97
223.53|1844|13.46
005.13|1844|15.24
802.56|1841|9.54
859.7|1841|19.18
848.0|1836|9.77
688.04|1836|8.31
594.62|1832|16.21
230.4|1821|8.2
410.7|1815|16.21
566.57|1795|15.47
910|1791|8.96
186.5|1789|11.85
414.1|1783|25.47
841|1774|7.92
190|1774|7.58
984.22102|1773|28.6
566|1772|12.14
909.54|1767|13.91
326.17|1766|19.41
005.565|1756|16.26
566.81|1756|20.66
413.8|1749|18.61
911.032|1746|7.62
681.6|1743|19.37
070.4|1730|6.73
214|1717|17.7
701|1714|6.44
4.76|1713|16.79
892.96|1713|23.15
360|1710|7.25
810.81|1704|4.03
325.33|1701|14.18
740.4|1699|23.27
325.019|1698|3.69
331.17|1694|9.01
695.4|1687|9.02
711.47|1685|38.3
715|1684|6.45
981.19902|1683|24.75
701.7|1683|8.59
594|1683|14.02
70.8|1680|5.85
407|1673|17.25
491.508|1670|10.77
912.03|1666|11.73
745.0|1663|12.6
656.2|1662|27.7
472|1658|8.17
5.135|1656|24.35
593.5|1654|13.02
592.27|1654|14.14
189.2|1649|12.78
188.5|1646|27.43
325.2|1644|6.42
388.111|1642|13.35
525.92|1640|14.14
911.04|1638|7.22
600.1|1634|13.85
337|1624|5.4
325.19|1620|8.85
911.0553|1617|10.3
349.9|1610|6.52
636.5|1604|12.53
152|1601|7.73
982.02|1600|19.51
591|1599|15.23
816.5|1581|9.09
658.0|1581|13.18
688.099|1580|12.44
005.76|1575|10.86
691.15|1570|11.54
674.2|1566|11.95
360.4|1566|14.77
699.1|1563|10.63
513.8525|1562|15.78
320.904|1559|15.91
370.18|1557|6.92
810.9|1557|3.2
320.04|1547|14.19
744.0|1545|17.17
5.133|1544|22.38
592.21|1541|39.51
892.95|1540|13.75
338.5|1540|10.34
710.7|1540|12.42
224.81|1535|11.99
688|1535|7.52
320.912|1530|7.69
981.102|1526|10.82
151.58|1522|7.81
005.55|1521|17.69
657.5|1520|17.27
986.202|1517|31.6
340.942|1516|8.19
165.21|1512|11.28
802.26|1510|35.95
326.23|1504|10.98
005.567|1494|19.4
126.5|1490|9.49
560|1488|17.71
325.2112|1487|15.65
420.99|1486|12.81
29.4|1480|15.26
350.4|1474|27.81
476|1473|17.75
420.1|1473|19.38
326.39|1472|4.92
566.874|1471|15.99
600.13|1467|11.2
325.24|1456|8.27
239.3|1448|16.64
004.16|1446|18.08
816.7|1444|7.48
481.508|1444|9.2
813.608|1442|11.72
792.8|1442|12.12
332.23|1441|11.35
991.26|1438|143.8
104.0|1437|9.84
511.4813|1437|17.31
331.47|1434|7.03
325.431|1432|10.16
005.51|1431|27.0
184|1430|17.02
542.1|1428|9.65
808.3|1425|7.2
566.88|1418|14.04
525.4|1413|20.48
596.9|1411|18.32
727.5|1411|12.83
519.9|1406|15.62
725|1402|10.31
839.4|1401|23.35
334|1397|8.37
609.05|1396|17.45
364|1395|10.81
808.1|1394|6.7
911.063|1392|3.54
234.8|1391|9.09
724|1387|21.02
228.7|1380|7.01
660.1|1377|20.86
566.8756|1377|17.88
108|1376|9.69
234.9|1376|9.36
517|1375|5.5
001|1375|12.28
566.8319|1374|17.18
688.6|1369|10.61
379|1368|6.55
610|1365|9.41
981.2402|1364|38.97
233.08|1364|9.41
517.3|1363|11.17
322.01|1352|11.17
688.01|1350|12.62
981.1602|1349|20.75
004.583|1348|20.12
892.83|1343|7.5
981.1|1342|6.68
606.9|1336|14.84
181.7|1334|13.9
527.47|1331|19.57
165.47|1331|20.48
573.94|1331|13.58
556|1328|10.8
378.1|1322|14.37
150|1321|8.63
5.138|1318|18.83
808.9|1312|12.26
656.6|1311|23.0
360.1|1308|7.69
338.1|1308|10.22
450|1307|8.71
591.9|1306|10.79
338.15|1304|10.27
691.6|1304|34.32
918|1304|14.49
490|1301|11.62
420.12|1301|17.12
592.021|1299|20.95
325.337|1297|23.58
180.4|1294|13.62
181.12|1293|18.21
31.0|1290|26.33
814.6|1287|7.53
512.57|1287|11.19
539.98|1287|8.88
325.82|1282|10.26
331.544|1280|18.29
472.5|1279|7.15
900|1278|22.82
688.0911|1277|6.48
770|1276|22.79
677.43|1276|31.12
673.53|1272|9.94
519.74|1271|14.28
617.81|1267|50.68
443|1267|16.04
594.71|1266|15.63
666|1265|15.24
902.5|1265|9.44
566.077|1264|36.11
420.04|1263|25.26
334.22|1260|10.41
517.31|1259|16.35
321.5|1258|7.86
005.75|1258|16.55
165.84|1251|11.8
711.2|1249|7.39
981.4102|1249|23.57
813.508|1247|11.76
852|1240|13.93
364.45|1239|19.98
224.8|1239|8.37
510|1237|12.49
229|1236|12.12
858|1235|9.5
457.279|1234|10.92
325.581|1233|13.4
670.9|1231|8.49
747.4|1230|18.64
181.3|1224|19.43
331.5412|1224|14.75
673.511|1221|9.11
5.56|1221|24.42
812.68|1219|13.25
981.8702|1218|39.29
325.2113|1217|19.95
593|1215|13.65
854|1215|13.35
219.11|1215|12.27
476.1|1214|8.43
813.62|1209|20.84
327.85|1207|33.53
630|1200|13.79
511.4|1200|13.48
220|1199|9.22
592.303|1197|42.75
5.1|1194|18.09
710|1193|6.25
611|1191|11.68
594.675|1191|14.89
981.502|1188|15.63
811.608|1185|4.84
001.44|1185|22.36
331.54|1184|14.1
740.7|1178|18.12
980.2|1175|14.69
321.3|1175|9.87
809.9|1172|5.4
325.26|1160|13.03
331.4|1158|5.65
981.19902|1153|32.03
362|1151|5.76
126|1150|9.58
340.2|1149|6.96
843.09|1149|6.08
823.6|1149|16.9
600.04|1144|11.11
181.38|1134|22.68
320.17|1134|10.6
920.3|1131|13.0
234.2|1129|13.13
511.1813|1129|19.81
481.9911|1129|8.12
982.702|1122|32.06
020.13|1120|20.74
720.77|1120|50.91
513.46|1118|13.0
636.5|1117|17.18
745.4|1112|25.27
181.81|1110|37.0
329.43|1106|17.28
223|1103|13.13
677.61|1101|29.76
594.5543|1100|22.0
539.92|1098|7.18
594.1|1096|7.88
340.911|1093|6.83
340.22|1089|4.97
005.57|1088|32.0
5.118|1086|19.39
320.0|1083|11.65
981.46902|1083|36.1
517.16|1080|8.93
517.32|1078|17.39
326.184|1073|16.51
004.61|1073|11.41
340.99|1073|8.58
362.11|1071|9.56
4.73|1071|25.5
662.0|1071|18.79
525.9|1070|10.19
475|1067|10.16
573.93|1067|23.2
911.02|1064|6.22
525.7|1063|11.07
182.1|1061|23.58
378.9|1058|8.67
911.07|1056|11.6
510.99|1052|11.43
004.582|1050|30.0
370.13|1049|5.19
514.325|1044|17.69
338.3|1041|5.75
920.38|1039|51.95
005.115|1038|20.35
838.0|1038|12.66
183|1037|12.49
653|1035|8.02
326.176|1033|16.4
802.2|1033|17.81
185.5|1026|13.86
366|1026|7.28
326.1|1025|4.44
802.066|1024|13.84
005.43|1022|12.02
513.85|1020|10.74
220.99|1020|7.13
981.32802|1016|25.4
810.819|1014|2.0
181.91|1012|21.08
320.911|1011|9.63
410.9|1008|14.2
801|1008|5.83
760|1005|18.27
610.99|995|18.77
330.911|995|4.95
911.058|994|3.4
653.2|993|18.74
810.82|992|3.79
370.8|989|5.32
566.8115|989|19.78
310|989|10.2
327.8|988|19.76
327.4|986|15.41
517.548|982|13.09
495.2|980|8.91
327.853|979|69.93
912.02|979|12.39
922.0|978|28.76
004|978|10.87
235.35|978|9.78
188.3|978|15.05
660|977|14.58
324.4|976|7.34
379.2|974|8.85
714|973|6.28
600.99|971|8.37
516.5|970|14.7
325.9|968|16.41
350|967|6.16
166.2|964|18.19
375.1|962|10.69
811.6|961|3.43
592.01|960|21.33
511.7|960|15.48
981.2402|956|43.45
594.51|952|9.62
155.7|948|18.59
367.4|948|9.03
579.55|947|23.1
810.8|945|6.56
182.4|943|19.65
233.1|942|8.8
005.7533|942|20.93
141.2|940|20.0
569.3|940|6.86
183.3|939|10.92
594.6|938|12.18
813.5|937|4.88
981.02|931|12.41
320.1|931|11.64
112.7|927|12.04
340|926|6.96
180.0|925|12.85
186.3|923|10.03
005.58|920|13.73
336|919|3.81
897.7|918|11.92
502.9|915|9.53
511.1689|915|13.07
337.2|914|14.06
327.2|912|26.82
859.82|907|17.44
539|907|8.81
594.5535|903|20.07
911.057|901|3.9
982.502|900|23.68
808.2|899|5.42
349.42|899|8.1
327.83|898|24.94
842.0|895|11.93
591.0|895|19.89
691|894|6.93
004.78|894|12.42
513.8914|892|18.2
165.4|891|9.38
326.12|888|10.7
181.71|888|10.7
609.0|887|19.28
004.588|884|17.33
594.019|883|18.79
324.3|880|5.21
593.24|880|16.92
676.27|879|23.76
392.19|878|11.11
338.18|876|15.64
375.474|875|12.68
879.0|875|19.02
325.7|872|9.28
005.5|872|15.57
325.55|871|16.75
340.265|871|19.8
519.8|870|6.9
985.02|870|14.03
181.845|868|18.47
321.97|867|14.45
542|866|12.2
29.1|865|10.95
601.3|865|15.73
220.4|864|9.71
185.3|858|15.32
100.0|857|8.4
181.37|854|31.63
840.9|854|5.3
574|853|6.99
592|853|9.58
220.1|850|9.14
5.76|849|17.69
843.4|849|8.24
657.1|849|16.02
471.2|846|9.1
862|844|11.89
165|844|11.56
325.3|844|8.88
232|843|8.18
654.5|842|14.03
594.5547|842|15.04
388.1|841|11.36
981.4702|838|32.23
843.4|837|12.68
633.5|831|51.94
5.44|829|17.64
802.1|828|6.79
650|828|11.19
984.102|828|28.55
495.21|827|8.8
371|825|3.45
373.0|825|10.31
981.3102|825|33.0
331.5|824|9.69
517.89|824|9.26
598.10212|823|12.86
491.5|823|10.16
334.21|822|13.26
694.3|821|12.25
480|820|10.25
810.8|817|2.0
370.4|816|7.16
166.8|813|15.94
338.13|812|19.8
453|811|8.63
005.12|810|12.27
410.1|810|12.66
657.3|809|40.45
331.23|808|9.18
658.04|808|17.96
711.25|808|7.48
688.15|802|17.06
511.18|802|16.37
29.8|802|9.78
192.5|801|12.52
821.4|801|4.98
810.099|799|7.4
191.6|799|8.78
231.1|798|10.5
811.9|798|3.2
437|797|15.04
569|794|9.68
592.303|793|36.05
232.8|793|12.02
189.24|792|8.08
440|792|9.43
409.9|790|8.32
696.1|788|27.17
114|788|9.38
981.402|786|26.2
883.0|786|10.77
610.1|785|17.44
181.383|782|10.16
598.4|782|9.65
5.53|781|26.93
340.98|779|14.98
720.0|779|14.98
610.92|776|15.84
320.99|775|9.45
512.54|774|10.32
691.6|773|51.53
594.5546|772|10.16
340.912|772|6.03
165.77|771|17.13
932|771|18.36
326.161|769|16.36
226.911|769|4.69
069|767|9.47
650.4|766|10.94
549.7|763|11.92
765|762|14.65
598.12|761|18.12
698.97|761|19.02
671|760|14.62
520.4|760|9.5
517.34|758|9.72
182.3|757|8.6
598|756|5.07
517.52|756|12.81
982.802|755|34.32
981.32302|753|23.53
926|753|13.94
911.034|752|6.9
400.0|750|8.93
676.28|750|22.06
925|750|12.93
808.2|750|7.81
194.2|750|9.26
187.5|750|13.16
592.02|748|19.18
808.8|748|5.67
653.11|748|8.22
325.94|747|8.79
233.5|747|8.03
471|746|11.84
601.0|745|14.33
476.10733|745|11.64
326.2|744|4.96
375.2|744|8.0
698.2|743|13.76
234.82|742|11.97
309.142|742|6.57
148.3|741|11.95
473|739|9.72
005.755|739|17.6
331.1|737|16.75
377.8|737|12.49
851|734|8.53
340.4|733|6.16
695.8|728|13.24
513.898|728|8.56
110|727|10.1
334.24|727|8.98
921|727|12.98
235|726|6.54
594.82|726|13.2
325.01|726|5.95
656.25|725|25.89
594.52|724|16.09
841.09|723|6.57
152.27|721|18.02
813.62|721|6.27
856|720|11.43
199.6|719|8.77
321.2|719|14.38
510.8|719|13.57
981.4802|717|39.83
767.5|717|25.61
004.58|717|15.93
811.708|716|1.3
497|716|12.14
199.7|716|13.02
671.57|715|13.49
813.508|715|7.69
004.57|715|17.02
329.4|715|14.59
839.64|714|15.87
911.033|713|4.69
924|710|15.78
185.51|710|20.29
540.04|709|8.24
513.8|709|13.63
740.0|707|11.98
330.4|704|6.58
912.6|703|10.65
470.4|703|15.98
745.7|703|29.29
300|702|5.44
325.2|702|12.54
823|702|15.26
415|701|15.93
155.9|700|25.93
559.962|700|9.09
004.5|699|15.2
873.0|697|9.29
388.2|697|3.03
349.0|695|14.48
201|695|6.04
691.2|693|18.24
596.81|693|9.24
881|692|20.97
981.16|690|16.83
912.033|690|16.83
180.733|690|26.54
919.4|689|13.78
757|687|23.69
350.1|687|4.94
235.3|686|6.73
443.8|685|17.12
594.677|684|13.68
329.431|683|18.46
511|682|11.18
731.4|682|14.21
443.1|682|11.96
913.05|681|11.35
365.72|680|13.33
549.7|680|19.43
160.9|677|17.36
513.89|677|15.04
197|675|16.88
777.5|674|21.06
235.84|674|7.17
184.4|673|23.21
842.09|672|6.11
365.4|672|8.51
592.3|671|33.55
579.12|670|25.77
070.8|670|3.68
600.15|669|4.29
199.4|668|11.13
320.942|667|9.96
566.22|667|20.21
367.56|666|17.08
693.4|666|16.24
234|666|9.51
495|665|12.31
513.8522|665|11.88
160.0|665|11.08
304.0|665|10.39
813.509|663|3.85
911.06|663|8.61
639|662|9.74
307.3|662|12.04
320.4|661|13.22
920.0|661|17.86
592.03|661|12.96
29.0|661|9.87
802.53|661|9.05
321.55|660|5.12
331.65|658|6.58
325.099|658|12.65
513.8915|657|20.53
598.125|656|10.58
912.06|656|9.51
238.2|656|6.69
810.905|654|4.36
324|654|7.88
338.9|654|19.24
813.708|650|10.32
777|649|19.67
688.1|648|19.06
224.3|647|12.94
569.9863|646|0.99
673.53099|646|10.59
181.1|646|10.09
802.068|646|19.0
680|645|5.97
005.74|644|16.51
600.4|643|13.98
717.6|642|3.87
741|641|13.93
737.0|640|15.61
808.1|640|3.27
911.021|640|8.77
233.211|639|11.02
828|637|7.77
413|637|14.81
594.5544|636|21.93
513.16|636|13.25
332.24|636|9.49
026|636|11.16
721.2|635|7.84
633.2|635|18.68
515.7|635|15.12
569.4|634|12.19
840.99|634|8.23
4.58|633|17.11
823.08|630|63.0
912.043|629|11.23
164.56|629|19.06
377|628|7.95
375.44|628|14.27
802.3|628|19.03
610.9|628|14.27
850.99|626|12.52
707|625|12.76
126.0|625|11.79
233.65|625|11.36
222.2|625|10.96
980.29|624|8.55
981.3402|624|22.29
737.5|623|15.2
592.3014|623|124.6
340.1|623|10.05
653.26|622|18.29
670.92|622|15.17
188|622|8.64
911.0025|622|3.72
561.1|621|11.72
540|619|5.73
513.994|619|10.49
392.1|619|10.32
911.052|616|4.43
029.85|616|10.1
365.0|616|26.78
309.111|615|6.99
349.11|614|3.74
918.63|614|13.95
454|612|5.46
802.54|612|11.55
767|612|13.3
904|612|8.87
165.55|611|11.11
181|611|8.26
188.8|611|15.67
653.269|611|13.58
365.2|611|6.43
517.96|610|16.49
542.5|610|24.4
126.5|610|11.73
029.5|609|14.5
109|609|8.34
510.19|608|7.51
361|608|8.56
372.61|607|6.82
379.1|607|7.31
522.65|606|20.2
365.1|606|8.66
334.6|606|11.65
193|606|13.47
184.7|605|14.76
320.76|603|31.74
584.98|603|26.22
364.1|603|7.73
5.13|602|14.68
236.911|602|5.9
321.92|601|15.41
151.7|601|4.93
699.95|599|11.3
519.92|597|16.14
230|597|6.35
691.7|595|14.51
070.41|595|10.08
166.4|595|14.51
720.77|593|31.21
900.0|593|34.88
331.5414|591|6.42
475.54|591|22.73
982.6302|591|24.62
379.4|590|12.83
567.673|590|22.69
609.9|589|12.53
301|588|5.55
866|587|11.08
181.53|587|13.04
911.059|587|6.45
609.205|586|12.47
517.523|585|16.25
221|584|8.34
929|582|10.39
820.8|581|7.85
375.4|581|6.53
699.2|580|14.87
909.5|579|8.51
183.6|579|10.53
525|578|13.14
512.44|577|18.03
912.08|577|14.42
695.5|577|13.11
982.902|577|13.74
381.75|576|10.11
911.053|576|22.15
334.2|575|9.43
152.25|575|14.74
926.05|575|10.85
844.0|574|11.48
792.2|574|18.52
656.0|573|19.76
301.52|571|6.07
607|570|15.41
325.571|569|19.62
911.004|569|7.79
377.37|568|11.59
326.79|568|13.52
510.9|568|8.35
542.8|567|14.92
530.1|567|9.15
472.193|567|10.12
181.2|565|22.6
542.2027|565|35.31
742|564|17.62
235.4|563|5.99
326.37|563|8.53
824.7|563|7.13
012.9|562|5.56
989|562|9.37
809.3|562|7.59
373.7|561|11.94
327.857|560|29.47
325.345|560|11.2
372.68|559|7.66
341|559|13.63
518|559|10.16
223.55|558|12.4
321.2|558|24.26
594.5541|557|20.63
181.9|557|13.59
512.423|556|21.38
325.6|556|5.73
983.02|556|12.64
982.302|556|29.26
112|555|11.1
326.7|555|3.96
594.62|554|12.59
574.752|554|20.52
591.9|553|12.29
670|553|8.78
861|552|9.52
691.9|552|10.42
013.1|552|8.9
830.9|551|7.65
453.9|550|7.05
328|549|15.69
414|548|10.75
011.2|547|6.92
892.5|547|11.64
375.43|545|11.35
567.43|544|12.36
982.602|543|27.15
811.909|542|5.47
233.09|542|10.84
699.7|541|10.61
512.5|541|9.33
981.32802|540|45.0
327.8099|540|38.57
710.77|540|25.71
606.926|540|18.62
523.77|540|20.0
182.12|539|16.33
320.913|538|6.48
592.011|537|19.89
600.9|537|10.74
517.36|537|8.66
331.0|536|10.94
321.89|535|19.81
114.5|534|11.12
912.07|534|11.36
420.0|534|13.02
390.99|533|9.52
569.0|533|18.38
429|532|11.57
512.42|532|9.67
592.31|530|21.2
592.099|529|23.0
610.9205|529|11.5
539.913|529|12.9
920.4|528|14.27
004.59|527|20.27
668.5|526|10.31
915|525|12.21
373.5|525|6.33
325.37|523|9.18
660.99|522|13.05
335.8|521|7.34
365.13|521|9.47
928|520|17.93
392.2|520|14.44
322|520|5.36
981.202|520|13.0
160.2|520|9.45
182.13|519|19.22
199.8|519|7.98
412.85|519|21.62
982.402|519|27.32
4.61|519|12.36
662.5|519|20.76
334.225|517|9.07
515.731|517|28.72
367.431|517|13.26
011.4|515|10.51
606.3|513|5.76
182.2|513|11.15
152.2|513|8.84
631.9|513|18.32
720.76|512|51.2
512.5153|512|13.84
823.509|512|16.52
332.6|512|14.63
519.0|511|8.52
670.8|511|8.52
328.1|511|11.61
981.4602|511|31.94
148.4|510|10.2
909.54|510|13.42
370.88|509|3.53
325.512|509|8.08
863.09|509|7.38
364.4|507|6.34
337.8|507|7.46
166.1|506|18.07
472.88|506|20.24
631.2|505|8.86
673.193|503|18.63
5.54|502|23.9
151|502|4.61
657.5|500|16.13
013.33|500|7.25
191.1|500|10.87
594.54|499|15.59
034|498|3.61
152.226|498|15.09
235.8|498|6.55
385|497|5.02
512.8|497|13.43
004.077|497|45.18
474|497|11.83
101|496|8.7
981.1|495|14.14
231.23|495|20.62
743|495|5.82
186|494|12.35
070|494|4.26
573.42|493|11.2
324.5|492|5.59
913.04|492|14.47
430.0|492|16.97
152.416|491|7.12
